Location,Year,Season,Crop_Name,Crop_Type,Area_Sown_Ha,Area_Harvested_Ha,Production_Tonnes,Yield_Kg_Ha,MSP_Rs_Qtl,Revenue_Rs_Lakh,Water_Req_mm,Fertilizer_N_Kg_Ha,Fertilizer_P_Kg_Ha,Fertilizer_K_Kg_Ha,Pesticide_Cost_Rs_Ha,Labor_Days_Ha,Crop_Duration_Days,Sowing_Month,Harvest_Month,Irrigation_Type,Rainfall_Dependency,data_source
Erode,2023,Kharif,Cotton,Fiber,22040.0,21840.0,32760.0,1500.0,6620.0,21687.0,600.0,120.0,60.0,40.0,3800.0,120.0,180,June,December,Drip,Medium,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,Kharif,Groundnut,Oilseed,17040.0,16840.0,34522.0,2050.0,6377.0,22024.0,400.0,25.0,50.0,40.0,1900.0,85.0,120,June,October,Rainfed,High,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,Rabi,Paddy,Cereal,33240.0,33020.0,188214.0,5700.0,2183.0,41126.0,1200.0,120.0,60.0,60.0,2100.0,100.0,145,November,March,Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,Rabi,Banana,Fruit,21640.0,21620.0,432400.0,20000.0,2400.0,103776.0,1400.0,200.0,80.0,160.0,2500.0,160.0,365,Any,Any,Drip,Very Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,Rabi,Sunflower,Oilseed,14840.0,14740.0,36850.0,2500.0,6015.0,22167.0,350.0,60.0,30.0,40.0,1450.0,70.0,95,November,February,Rainfed,Medium,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,Summer,Vegetables,Horticulture,12240.0,12200.0,122610.0,10050.0,2700.0,33105.0,600.0,100.0,80.0,80.0,3300.0,120.0,90,February,May,Drip,Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2023,Summer,Coconut,Plantation,10440.0,10420.0,312600.0,30000.0,2800.0,87528.0,1200.0,100.0,40.0,140.0,1900.0,60.0,365,Any,Any,Drip+Flood,Low,"Project baseline dataset (2020-2023, course-provided)"
Erode,2024,Kharif,Sugarcane,Commercial,45773.2,45546.6,4396686.2,96531.6,3141.5,1381219.0,1854.0,257.5,82.4,123.6,3502.0,185.4,365,January,December,Drip,Very Low,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual x ~1.061 growth factor (set in a prior session)."
Erode,2024,Kharif,Turmeric,Spice,29705.2,29499.2,303841.8,10300.0,8600.5,261319.1,1133.0,154.5,61.8,103.0,2987.0,144.2,270,June,March,Drip,Low,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual x ~1.061 growth factor (set in a prior session)."
Erode,2024,Kharif,Maize,Cereal,25379.2,25152.6,174199.9,6925.72,2020.86,35203.4,494.4,123.6,61.8,41.2,2575.0,70.04,100,June,September,Drip+Flood,Low,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual x ~1.061 growth factor (set in a prior session)."
Erode,2024,Kharif,Cotton,Fiber,22701.2,22495.2,34755.1,1545.0,6818.6,23698.1,618.0,123.6,61.8,41.2,3914.0,123.6,180,June,December,Drip,Medium,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual x ~1.061 growth factor (set in a prior session)."
Erode,2024,Kharif,Groundnut,Oilseed,17551.2,17345.2,36624.4,2111.5,6568.31,24056.0,412.0,25.75,51.5,41.2,1957.0,87.55,120,June,October,Rainfed,High,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual x ~1.061 growth factor (set in a prior session)."
Erode,2024,Rabi,Paddy,Cereal,34237.2,34010.6,199676.2,5871.0,2248.49,44897.0,1236.0,123.6,61.8,61.8,2163.0,103.0,145,November,March,Flood,Low,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual x ~1.061 growth factor (set in a prior session)."
Erode,2024,Rabi,Banana,Fruit,22289.2,22268.6,458733.2,20600.0,2472.0,113398.8,1442.0,206.0,82.4,164.8,2575.0,164.8,365,Any,Any,Drip,Very Low,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual x ~1.061 growth factor (set in a prior session)."
Erode,2024,Rabi,Sunflower,Oilseed,15285.2,15182.2,39094.2,2575.0,6195.45,24220.6,360.5,61.8,30.9,41.2,1493.5,72.1,95,November,February,Rainfed,Medium,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual x ~1.061 growth factor (set in a prior session)."
Erode,2024,Summer,Vegetables,Horticulture,12607.2,12566.0,130076.9,10351.5,2781.0,36174.4,618.0,103.0,82.4,82.4,3399.0,123.6,90,February,May,Drip,Low,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual x ~1.061 growth factor (set in a prior session)."
Erode,2024,Summer,Coconut,Plantation,10753.2,10732.6,331637.3,30900.0,2884.0,95644.2,1236.0,103.0,41.2,144.2,1957.0,61.8,365,Any,Any,Drip+Flood,Low,"Estimated (2024) - live download attempted from data.gov.in API (403), CGWB gwdata portal (maintenance mode), data.gov.in catalog (robots.txt blocked), agmarknet.gov.in (403); all unreachable from this environment on 2026-09-17. Value = 2023 actual x ~1.061 growth factor (set in a prior session)."
